2024-11-17T17:45:51.976250,temp,26.07
2024-11-17T17:44:51.976250,temp,15.8
2024-11-17T17:43:51.976250,temp,24.14
2024-11-17T17:42:51.976250,temp,15.86
2024-11-17T17:41:51.976250,temp,27.74
2024-11-17T17:40:51.976250,umid,48.01
2024-11-17T17:39:51.976250,temp,24.35
2024-11-17T17:38:51.976250,temp,20.79
2024-11-17T17:37:51.976250,umid,66.41
2024-11-17T17:36:51.976250,temp,23.91
2024-11-17T17:35:51.976250,umid,61.92
2024-11-17T17:34:51.976250,umid,48.88
2024-11-17T17:33:51.976250,umid,44.79
2024-11-17T17:32:51.976250,temp,23.69
2024-11-17T17:31:51.976250,umid,62.56
2024-11-17T17:30:51.976250,umid,51.53
2024-11-17T17:29:51.976250,umid,48.21
2024-11-17T17:28:51.976250,umid,59.73
2024-11-17T17:27:51.976250,temp,15.05
2024-11-17T17:26:51.976250,temp,29.82
2024-11-17T17:25:51.976250,umid,54.75
2024-11-17T17:24:51.976250,umid,45.07
2024-11-17T17:23:51.976250,temp,23.91
2024-11-17T17:22:51.976250,temp,18.81
2024-11-17T17:21:51.976250,umid,69.69
2024-11-17T17:20:51.976250,umid,51.73
2024-11-17T17:19:51.976250,temp,25.61
2024-11-17T17:18:51.976250,umid,51.96
2024-11-17T17:17:51.976250,umid,76.41
2024-11-17T17:16:51.976250,temp,26.99
2024-11-17T17:15:51.976250,temp,28.23
2024-11-17T17:14:51.976250,temp,26.49
2024-11-17T17:13:51.976250,temp,18.18
2024-11-17T17:12:51.976250,temp,24.74
2024-11-17T17:11:51.976250,umid,63.72
2024-11-17T17:10:51.976250,umid,62.88
2024-11-17T17:09:51.976250,temp,25.26
2024-11-17T17:08:51.976250,umid,57.02
2024-11-17T17:07:51.976250,umid,78.05
2024-11-17T17:06:51.976250,umid,44.06
2024-11-17T17:05:51.976250,umid,75.85
2024-11-17T17:04:51.976250,umid,75.12
2024-11-17T17:03:51.976250,umid,41.4
2024-11-17T17:02:51.976250,umid,57.2
2024-11-17T17:01:51.976250,umid,48.01
2024-11-17T17:00:51.976250,umid,69.93
2024-11-17T16:59:51.976250,temp,23.11
2024-11-17T16:58:51.976250,umid,72.5
2024-11-17T16:57:51.976250,temp,27.68
2024-11-17T16:56:51.976250,temp,18.3
2024-11-17T16:55:51.976250,temp,24.35
2024-11-17T16:54:51.976250,temp,22.36
2024-11-17T16:53:51.976250,umid,56.29
2024-11-17T16:52:51.976250,temp,28.77
2024-11-17T16:51:51.976250,temp,16.2
2024-11-17T16:50:51.976250,temp,29.65
2024-11-17T16:49:51.976250,temp,25.06
2024-11-17T16:48:51.976250,temp,24.44
2024-11-17T16:47:51.976250,umid,73.44
2024-11-17T16:46:51.976250,umid,64.78
2024-11-17T16:45:51.976250,temp,19.51
2024-11-17T16:44:51.976250,temp,27.5
2024-11-17T16:43:51.976250,umid,75.81
2024-11-17T16:42:51.976250,umid,71.5
2024-11-17T16:41:51.976250,umid,72.99
2024-11-17T16:40:51.976250,temp,18.0
2024-11-17T16:39:51.976250,umid,57.17
2024-11-17T16:38:51.976250,umid,52.53
2024-11-17T16:37:51.976250,temp,19.49
2024-11-17T16:36:51.976250,umid,68.72
2024-11-17T16:35:51.976250,umid,54.42
2024-11-17T16:34:51.976250,umid,71.42
2024-11-17T16:33:51.976250,umid,62.08
2024-11-17T16:32:51.976250,temp,23.93
2024-11-17T16:31:51.976250,umid,58.97
2024-11-17T16:30:51.976250,temp,16.3
